Year,Area_Code,Prefecture,Area,Population,Population_M,Population_F,Populatioin_Japanese,Population_U15,Population_15to64,Population_O65,Number_of_Birth,Total_Fertility_Rate,Number_of_Death,Immigrants_Japanese,Out_Immigrant_Japanese,Marriage,Divorce,Temperature_Average,Temperature_Max,Temperature_Min,Precipitation,Kndergarten_Children_Number,Nursery_School_Children,Elementary_School_Teachers,Elementary_School_Students,Junior_High_School_Teachers,Junior_High_School_Students,High_School_Teachers,High_School_Students,University_Teachers,University_Students,University_Graduates,Waste_Per_Person,Recycling_Waste_Rate,Hospital,Consumption_Expenses,Food_Expenses,Housing_Expenses,Utility_Expenses,Clothing_Expenses,Healthcare_Expenses,Transportaion_Communication_Expenses,Education_Expenses,Entertaiment_Expenses,Other_Consumption_Expenses
2010,R11000,saitama,Kanto,7194556,3608711,3585845,7054944,953668,4749108,1464860,59437,1,55487,162483,147059,39160,14325,16,35,-1,1307,114763,77949,20012,394644,11965,196241,11178,175332,4409,118325,21866,929,24,296,319822,73840,19566,24059,13828,13952,38142,14997,42992,68368
2010,R12000,chiba,Kanto,6216289,3098139,3118150,6023584,799646,4009060,1320120,51633,1,50014,151402,137215,34785,12391,17,33,3,1525,97167,72238,18293,337351,10622,164064,9540,147820,4028,105588,20732,977,25,248,298829,74675,18703,20114,13977,17094,35624,16183,35825,55655
2010,R13000,tokyo,Kanto,13159388,6512110,6647278,12623619,1477371,8850225,2642231,108135,1,104238,396318,347987,91196,26335,17,34,3,1680,171273,167075,31447,595669,18749,309247,18672,313280,47911,639467,147417,1008,24,593,331920,79864,27459,22405,16413,15452,32939,20534,41901,64133
2010,R14000,kanagawa,Kanto,9048331,4544545,4503786,8846903,1187743,5988857,1819503,78077,1,67760,215904,201017,54203,17830,17,33,3,1856,142696,90929,24364,486659,14185,231291,12398,195761,5321,188762,35639,943,25,296,322916,77341,28862,21926,13715,13998,44718,14217,34125,63899
2010,R15000,niigata,Tyubu,2374450,1148236,1226214,2355361,301708,1441262,621187,18083,1,26618,23754,27858,11018,3438,14,33,0,2072,15767,57255,8709,126465,5135,65834,4858,66163,2297,24297,5273,1034,22,111,284998,69928,9351,26095,10252,10114,37279,14634,31498,65763
2010,R16000,toyama,Tyubu,1093247,526605,566642,1078898,141936,662072,285102,8188,1,11875,12664,13310,4928,1569,15,34,1,2787,7660,27458,3700,59870,2153,30448,2341,28613,1103,10115,2183,956,21,91,317418,72164,15871,26985,13048,11121,43620,10793,32911,79723
2010,R17000,ishikawa,Tyubu,1169788,564972,604816,1154833,159283,725951,275337,9602,1,11607,17182,17705,5829,1817,15,33,1,2859,8123,33408,4238,66761,2353,33476,2510,32452,2528,24434,5235,998,15,88,331215,76231,13653,26035,13622,12534,47579,11947,35912,82704
2010,R18000,fukui,Tyubu,806314,389712,416602,791396,112192,485409,200942,6874,2,8417,9058,10468,3705,1233,15,35,1,2717,5391,23415,3212,46764,1878,24498,1835,23895,921,8534,1827,969,19,65,329482,71456,18077,25260,11546,15586,43722,11320,28347,94124
2010,R19000,yamanashi,Tyubu,863075,422526,440549,848421,115337,531455,211581,6651,1,9268,13070,14438,4221,1693,15,34,-3,1320,7082,19109,3330,48628,1990,26462,2088,27581,1006,16558,3610,1001,19,52,267809,67502,11073,20946,11335,10466,29738,13472,31323,63555
2010,R20000,nagano,Tyubu,2152449,1046178,1106271,2119073,295742,1281683,569301,17233,2,23133,26871,28974,10318,3636,13,33,-4,1058,13053,51064,7722,124061,4822,63682,4654,60920,1536,14492,3151,862,26,116,291979,64414,15502,24665,12163,14312,39716,9551,34055,66492
2010,R21000,gifu,Tyubu,2080773,1006247,1074526,2037175,289748,1282800,499399,16887,1,20220,26793,30181,10087,3395,16,34,0,2441,23476,39176,7524,122507,4447,62205,4129,57373,1689,18714,4062,960,22,91,302977,67994,20466,23192,12341,14992,39633,11729,35572,66896
2010,R22000,shizuoka,Tyubu,3765007,1853952,1911055,3688016,511575,2339915,891807,31896,2,36420,52128,56022,20323,7241,17,32,2,2846,62417,50388,11453,211750,6885,106622,7122,102017,2035,31884,7112,975,22,155,292313,68119,18506,22093,10720,15108,38839,8946,31549,69088
2010,R23000,aichi,Tyubu,7410719,3704220,3706499,7174451,1065254,4791445,1492085,69872,2,58477,105769,107031,45039,14253,17,34,1,1730,97605,132487,22924,435821,13230,215822,12193,191707,10267,171296,37586,981,24,289,302742,73734,18889,21609,12785,11653,34825,18960,36351,63076
2010,R24000,mie,Kansai,1854724,903398,951326,1812500,253174,1142275,447103,15262,2,18691,27619,29211,9396,3461,17,33,2,1624,20141,37138,7153,106337,4123,54233,3841,51359,1230,13718,3083,966,31,89,287748,66932,11926,21036,11918,12250,37551,10442,33981,71991
2010,R25000,shiga,Kansai,1410777,696769,714008,1376541,210753,897583,288788,13363,2,11602,26793,24477,7691,2466,15,34,1,1858,19278,25329,5251,86907,2972,42232,2802,38706,956,33661,7461,896,19,53,284061,69218,15260,21476,10923,12437,41011,10374,32333,60500
2010,R26000,kyoto,Kansai,2636092,1265387,1370705,2557625,334444,1653812,605709,21234,1,23714,53014,54954,13664,4964,16,35,1,2061,30377,46728,8751,139582,5267,71378,5210,71408,9123,138737,30707,936,13,163,284934,75115,16201,21696,11726,13077,28832,15982,30937,62434
