Year,Area_Code,Prefecture,Population,Population_M,Population_F,Populatioin_Japanese,Population_U15,Population_15to64,Population_O65,Number_of_Birth,Total_Fertility_Rate,Number_of_Death,Immigrants_Japanese,Out_Immigrant_Japanese,Marriage,Divorce,Temperature_Average,Temperature_Max,Temperature_Min,Precipitation,Kndergarten_Children_Number,Nursery_School_Children,Elementary_School_Teachers,Elementary_School_Students,Junior_High_School_Teachers,Junior_High_School_Students,High_School_Teachers,High_School_Students,University_Teachers,University_Students,University_Graduates,Waste_Per_Person,Recycling_Waste_Rate,Hospital,Consumption_Expeses,Food_Expenses,Housing_Expenses,Utility_Expenses,Clothing_Expenses,Healthcare_Expenses,Transportaion_Communication_Expenses,Education_Expenses,Entertaiment_Expenses,Other_Consumption_Expenses
2010,R09000,tochigi,2007683,996855,1010828,1964917,269823,1281274,438196,16473,1.44,19712,31940,33465,10616,3898,14.8,33.2,-2,1718,31554,29995,6984,112449,4227,56769,3912,56136,3359,19985,4246,940,18.7,92,333560,71859,15967,23746,13077,14049,48736,11350,39165,84103
2010,R10000,gumma,2008068,988019,1020049,1964136,275225,1251608,470520,16023,1.46,20385,27335,28633,9679,3865,15.5,34.1,-0.3,1490.5,22659,42274,7076,115864,4092,58748,3868,53939,1639,25016,5140,1078,14.8,120,300304,68237,13075,21347,12751,11186,42510,10629,35876,74347
2010,R11000,saitama,7194556,3608711,3585845,7054944,953668,4749108,1464860,59437,1.32,55487,162483,147059,39160,14325,15.8,34.8,-0.5,1307,114763,77949,20012,394644,11965,196241,11178,175332,4409,118325,21866,929,24.2,296,319822,73840,19566,24059,13828,13952,38142,14997,42992,68368
2010,R12000,chiba,6216289,3098139,3118150,6023584,799646,4009060,1320120,51633,1.34,50014,151402,137215,34785,12391,16.6,32.8,2.7,1525,97167,72238,18293,337351,10622,164064,9540,147820,4028,105588,20732,977,24.8,248,298829,74675,18703,20114,13977,17094,35624,16183,35825,55655
2010,R13000,tokyo,13159388,6512110,6647278,12623619,1477371,8850225,2642231,108135,1.12,104238,396318,347987,91196,26335,16.9,33.5,3,1679.5,171273,167075,31447,595669,18749,309247,18672,313280,47911,639467,147417,1008,23.5,593,331920,79864,27459,22405,16413,15452,32939,20534,41901,64133
2010,R14000,kanagawa,9048331,4544545,4503786,8846903,1187743,5988857,1819503,78077,1.31,67760,215904,201017,54203,17830,16.5,32.7,3.2,1855.5,142696,90929,24364,486659,14185,231291,12398,195761,5321,188762,35639,943,24.5,296,322916,77341,28862,21926,13715,13998,44718,14217,34125,63899
2010,R15000,niigata,2374450,1148236,1226214,2355361,301708,1441262,621187,18083,1.43,26618,23754,27858,11018,3438,14.4,33,0.3,2072,15767,57255,8709,126465,5135,65834,4858,66163,2297,24297,5273,1034,22.2,111,284998,69928,9351,26095,10252,10114,37279,14634,31498,65763
2010,R16000,toyama,1093247,526605,566642,1078898,141936,662072,285102,8188,1.42,11875,12664,13310,4928,1569,14.9,34.3,0.6,2786.5,7660,27458,3700,59870,2153,30448,2341,28613,1103,10115,2183,956,20.5,91,317418,72164,15871,26985,13048,11121,43620,10793,32911,79723
2010,R17000,ishikawa,1169788,564972,604816,1154833,159283,725951,275337,9602,1.44,11607,17182,17705,5829,1817,15.1,33.2,1.4,2858.5,8123,33408,4238,66761,2353,33476,2510,32452,2528,24434,5235,998,15.3,88,331215,76231,13653,26035,13622,12534,47579,11947,35912,82704
2010,R18000,fukui,806314,389712,416602,791396,112192,485409,200942,6874,1.61,8417,9058,10468,3705,1233,15,34.6,0.5,2717,5391,23415,3212,46764,1878,24498,1835,23895,921,8534,1827,969,18.8,65,329482,71456,18077,25260,11546,15586,43722,11320,28347,94124
2010,R19000,yamanashi,863075,422526,440549,848421,115337,531455,211581,6651,1.46,9268,13070,14438,4221,1693,15.2,34.2,-2.6,1320,7082,19109,3330,48628,1990,26462,2088,27581,1006,16558,3610,1001,18.7,52,267809,67502,11073,20946,11335,10466,29738,13472,31323,63555
2010,R20000,nagano,2152449,1046178,1106271,2119073,295742,1281683,569301,17233,1.53,23133,26871,28974,10318,3636,12.6,33.1,-3.8,1058,13053,51064,7722,124061,4822,63682,4654,60920,1536,14492,3151,862,25.8,116,291979,64414,15502,24665,12163,14312,39716,9551,34055,66492
2010,R21000,gifu,2080773,1006247,1074526,2037175,289748,1282800,499399,16887,1.48,20220,26793,30181,10087,3395,16.4,34.1,0.2,2440.5,23476,39176,7524,122507,4447,62205,4129,57373,1689,18714,4062,960,22.4,91,302977,67994,20466,23192,12341,14992,39633,11729,35572,66896
2010,R22000,shizuoka,3765007,1853952,1911055,3688016,511575,2339915,891807,31896,1.54,36420,52128,56022,20323,7241,17.2,32.1,1.7,2846,62417,50388,11453,211750,6885,106622,7122,102017,2035,31884,7112,975,21.6,155,292313,68119,18506,22093,10720,15108,38839,8946,31549,69088
2010,R23000,aichi,7410719,3704220,3706499,7174451,1065254,4791445,1492085,69872,1.52,58477,105769,107031,45039,14253,16.6,34.1,1,1730,97605,132487,22924,435821,13230,215822,12193,191707,10267,171296,37586,981,23.5,289,302742,73734,18889,21609,12785,11653,34825,18960,36351,63076
2010,R24000,mie,1854724,903398,951326,1812500,253174,1142275,447103,15262,1.51,18691,27619,29211,9396,3461,16.6,32.7,2.3,1623.5,20141,37138,7153,106337,4123,54233,3841,51359,1230,13718,3083,966,30.6,89,287748,66932,11926,21036,11918,12250,37551,10442,33981,71991
2010,R25000,shiga,1410777,696769,714008,1376541,210753,897583,288788,13363,1.54,11602,26793,24477,7691,2466,15.3,33.9,1,1858,19278,25329,5251,86907,2972,42232,2802,38706,956,33661,7461,896,19,53,284061,69218,15260,21476,10923,12437,41011,10374,32333,60500
2010,R26000,kyoto,2636092,1265387,1370705,2557625,334444,1653812,605709,21234,1.28,23714,53014,54954,13664,4964,16.4,35.2,0.9,2061,30377,46728,8751,139582,5267,71378,5210,71408,9123,138737,30707,936,13.3,163,284934,75115,16201,21696,11726,13077,28832,15982,30937,62434
2010,R27000,osaka,8865245,4285566,4579679,8584957,1165200,5648070,1962748,75080,1.33,76556,151123,154693,51242,20752,17.3,35.2,2.6,1568,122038,129132,26976,492154,16105,248276,14799,225421,12595,206642,44430,1090,12.2,501,256317,69515,19886,19791,9833,9847,28939,11667,26552,52354
2010,R28000,hyogo,5588133,2673328,2914805,5459903,759277,3515442,1281486,47834,1.41,51568,90632,93275,29752,10738,17.2,33.5,2.7,1633,71283,75374,18544,321173,10721,160222,10235,143271,6570,113384,24196,1006,17.3,317,275533,70666,12522,19431,12006,12510,33361,16424,32890,57751
2010,R29000,nara,1400728,663321,737407,1386302,184011,875062,333746,10694,1.29,13036,25690,27987,6595,2602,15.4,34.7,-0.2,1587.5,18273,19361,4952,78963,3041,41546,2641,38396,1453,21760,4885,932,14.4,71,318381,72210,17833,22313,13993,13353,41233,19786,37030,69076
2010,R30000,wakayama,1002198,471397,530801,992144,128005,594573,270846,7587,1.47,12049,12064,14289,4771,2077,17.1,33.5,2.7,1578,8628,18880,3933,55625,2515,30296,2321,29889,654,7148,1582,1010,13.8,82,235118,62084,9430,18814,8355,11349,26607,6925,27836,55415
2010,R31000,tottori,588667,280701,307966,582154,77951,352098,153614,4790,1.54,6947,9319,10451,2834,1141,15.6,35.5,0.6,1830.5,4486,15651,2540,32588,1458,16763,1476,17172,788,5934,1259,964,24.7,40,266857,66389,17698,21400,10942,12015,34731,8607,27557,58649
2010,R32000,shimane,717397,342991,374406,708701,92218,414153,207398,5756,1.68,9109,10749,12319,3283,1110,15.5,34.4,1.4,1857,5000,19829,3429,38409,1963,20238,1831,20216,776,6417,1419,917,23.8,46,280553,66722,19168,24355,11563,9850,40490,8032,26474,63790
2010,R33000,okayama,1945276,933168,1012108,1912378,264853,1178493,484718,16759,1.5,20248,28005,30089,9894,3626,16.7,34.9,0.9,1216,19732,38578,7121,110660,4133,56712,4039,54833,3273,35825,8048,948,25.7,157,291751,62198,23219,21192,12218,13194,43084,9803,33098,63498
2010,R34000,hiroshima,2860750,1380671,1480079,2795205,386810,1765036,676660,25546,1.55,27561,47265,49167,15402,5472,16.6,35.1,1.3,1586,33620,52429,9503,160310,5508,81859,5547,76032,3969,53156,11405,902,24.4,223,305266,69498,20927,23530,12884,13824,37831,11081,33122,70661
2010,R35000,yamaguchi,1451338,684176,767162,1436515,184049,857956,404694,11551,1.56,17646,23041,25927,6966,2531,16,33.9,0,2083.5,16558,23467,5263,77062,3273,39405,3083,36796,1410,17100,3670,1242,37.1,119,303985,67040,18927,21395,12331,13237,43503,14303,34773,66766
2010,R36000,tokushima,785491,372710,412781,776242,96596,471788,209926,5904,1.42,9307,10120,11705,3573,1445,17,33.8,2.6,1506,7890,14522,3304,41408,1916,21575,1834,21058,1592,11612,2388,959,18.2,102,317357,65955,20563,21817,13033,12590,49194,12055,35152,77621
2010,R37000,kagawa,995842,479951,515891,981113,131670,595451,253245,8397,1.57,11064,18458,19863,4975,1928,17,34.7,2.1,988,14936,19569,3609,56851,2127,27844,2161,26194,874,9069,1917,903,20.9,84,313848,63276,16735,21416,12883,12668,42070,11073,35079,87971
2010,R38000,ehime,1431493,673326,758167,1415381,185179,858991,378591,11427,1.5,16344,18762,21358,6922,2811,16.9,34.7,2.2,1441,18146,23548,5458,77953,3126,39348,2998,37924,1160,15870,3492,914,18.6,129,272254,58862,20453,20525,10877,11345,33683,13620,25283,66973
